ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
2344,1.91,13,-184581,['Cl[Si]([Si]([Si](Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl'],,,[None],[None],
2345,6.08,-11,-76244,[None],,,[None],[None],
2353,2.82,-9,-306513,[None],,,[None],[None],
2399,3.09,13,-206199,[None],,,[None],[None],
2400,6.31,13,-207862,[None],,,[None],[None],
2401,1.58,14,-204536,[None],,,[None],[None],
2431,1.5,13,-300984,[None],,,[None],[None],
2432,1.54,13,-300984,['BrC1=CC=C(C=C1)[2H]'],,,[None],[None],
2449,7.14,-5,-147998,[None],,,[None],[None],
2678,5.01,11,-148829,['C=CC=CC#C'],,,['C=C1C=CC1=C'],,
2692,2.16,7,-184849,[None],,,[None],,
